|Browser|Length of array|Number of loops|Plateform|Total encoding time|Total decoding time|Total running time|
|---|---|---|---|---|---|---|
|chrome v56|3840|2160|Windows 10|140.0200000000002|409.9999999999993|14.980000000000473|
|chrome v56|3840|2160|Mac 10.12|402.3300000000154|1066.514999999994|72.46999999999662|
|chrome vdev|3840|2160|Windows 10|160.01000000000045|407.9850000000001|4.004999999999654|
|chrome vdev|3840|2160|Mac 10.12|258.17000000001417|426.3249999999821|6.260000000000673|
|chrome vbeta|3840|2160|Windows 10|164.01000000000158|420.00499999999965|13.99499999999989|
|chrome vbeta|3840|2160|Mac 10.12|144.10999999999672|376.45500000000857|10.329999999994925|
|firefox v45|3840|2160|Linux|135.86999999999694|88.95999999999344|12.260000000009086|
|firefox v51|3840|2160|Windows 10|216.84499999999798|160.7050000000006|38.639999999999645|
|firefox v51|3840|2160|Mac 10.12|189.3450000000007|167.73000000001275|16.729999999990923|
|firefox vdev|3840|2160|Windows 10|186.14000000000283|132.95500000000447|36.93499999999881|
|firefox vdev|3840|2160|Mac 10.12|280.6199999999933|290.2950000000103|45.80999999999108|
|firefox vbeta|3840|2160|Windows 10|168.3599999999983|120.86499999999546|25.724999999995816|
|firefox vbeta|3840|2160|Mac 10.12|179.85500000001093|186.99000000001593|19.054999999988013|
